Timestamp,GazeEventType,Focus
166174,1,1
166175,0,1
166176,0,1
166177,0,1
166178,0,1
166179,0,1
166180,0,1
166181,0,1
166182,0,1
166183,0,1
166184,0,1
166185,0,1
166186,0,1
166187,0,1
166188,1,1
166189,1,1
166190,1,1
166191,1,1
166192,1,1
166193,1,1
166194,1,1
166195,1,1
166196,1,1
166197,1,1
166198,1,1
166199,1,1
166200,1,1
166201,1,1
166202,1,1
166203,1,1
166204,1,1
166205,1,1
166206,1,1
166207,1,1
166208,1,1
166209,1,1
166210,0,1
166211,0,1
166212,0,1
166213,0,1
166214,1,1
166215,1,1
166216,1,1
166217,1,1
166218,1,1
166219,1,1
166220,1,1
166221,1,1
166222,1,1
166223,1,1
166224,1,1
166225,1,1
166226,1,1
166227,1,1
166228,1,1
166229,1,1
166230,1,1
166231,1,1
166232,1,1
166233,0,1
166234,0,1
166235,0,1
166236,0,1
166237,0,1
166238,0,1
166239,0,1
166240,0,1
166241,0,1
166242,0,1
166243,0,1
166244,1,1
166245,1,1
166246,1,1
166247,1,1
166248,1,1
166249,1,1
166250,1,1
166251,1,1
166252,1,1
166253,1,1
166254,1,1
166255,1,1
166256,1,1
166257,1,1
166258,1,1
166259,1,1
166260,1,1
166261,1,1
166262,1,1
166263,1,1
166264,1,1
166265,1,1
166266,1,1
166267,0,1
166268,0,1
166269,1,1
166270,1,1
166271,1,1
166272,1,1
166273,1,1
166274,1,1
166275,1,1
166276,1,1
166277,1,1
166278,1,1
166279,1,1
166280,1,1
166281,1,1
166282,1,1
166283,1,1
166284,1,1
166285,1,1
166286,1,1
166287,1,1
166288,1,1
166289,1,1
166290,1,1
166291,1,1
166292,1,1
166293,1,1
166294,1,1
166295,1,1
166296,0,1
166297,0,1
166298,0,1
166299,1,1
166300,1,1
166301,1,1
166302,1,1
166303,1,1
166304,1,1
166305,1,1
166306,1,1
166307,1,1
166308,1,1
166309,1,1
166310,1,1
166311,1,1
166312,1,1
166313,1,1
166314,1,1
166315,1,1
166316,1,1
166317,1,1
166318,1,1
166319,1,1
166320,1,1
166321,1,1
166322,1,1
166323,0,1
166324,0,1
